quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,index_right,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,avg_d_mbps,avg_u_mbps
1231221232330310,67,386,811,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,0.067,0.386
1231221232330310,67,386,811,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.067,0.386
1231221232331212,1148,389,44,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",1.148,0.389
1231221232331221,32782,394,325,7,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",32.782,0.394
1231221232331223,1016,2982,73,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",1.016,2.982
1231221232331230,45191,422,41,4,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",45.191,0.422
1231221232331232,533313,43166,13,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",533.313,43.166
1231221232333123,47197,34758,26,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",47.197,34.758
1231221233203232,2865,49,38,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",2.865,0.049
1231221233212131,649204,28907,13,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",649.204,28.907
1231221233212330,116264,786,28,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",116.264,0.786
1231221233213223,9925,4271,33,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",9.925,4.271
1231221233223200,462274,13648,17,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",462.274,13.648
1231221233230101,496455,101452,28,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",496.455,101.452
1231221233231000,16692,298,64,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",16.692,0.298
1231221233231113,482079,37372,24,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",482.079,37.372
1231221233232121,112984,32128,27,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",112.984,32.128
1231221233233103,110229,3953,42,3,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",110.229,3.953
1231221233300223,514638,32678,21,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",514.638,32.678
1231221233300232,7145,8319,30,15,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",7.145,8.319
1231221233301212,498991,9464,29,3,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",498.991,9.464
1231221233301233,756194,46822,23,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",756.194,46.822
1231221233302011,291,495,114,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.291,0.495
1231221233302012,1621,713,38,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",1.621,0.713
1231221233303003,103559,22216,30,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",103.559,22.216
1231221233312022,42516,7754,33,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",42.516,7.754
1231221233313120,69730,21295,23,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",69.73,21.295
1231221233313300,27803,7369,26,3,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",27.803,7.369
1231221233320011,7371,13711,32,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",7.371,13.711
1231221233320231,3684,2425,41,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",3.684,2.425
1231221233322111,25736,28031,28,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",25.736,28.031
1231221233323212,101923,13752,57,7,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",101.923,13.752
